adj. 和諧的；和睦（ㄇㄨˋ）的,harmonious
n. 和諧；一致；調和,harmony
adj. 刺耳的：嚴厲的,harsh
n. 匆忙,hasten
vt. 催促,hasten
adj. 急忙的；輕率（ㄕㄨㄞˋ）的,hasty
n. 憎恨,hatred
n. 頭痛,headache
n. 耳機（戴在頭上用的）,headphones
adj. 有益健康的,healthful
n. 直升機 (=copter = chopper),helicopter
n. 牛、馬群；人群,herd
n. 成語；慣用語,idiom
adj. 慣用語的,idiomatic
慣用語詞：慣用說法 (2),idiomatic expressions
adj. 懶惰的；閒置的,idle
n. 怠（ㄉㄨㄞˋ）惰,idleness
n. 偶像,idol
vt. 把～偶像化；崇（ㄔㄨㄥˊ）拜,idolize
vt. 以圖、表說明；舉例證明；加插圖於,illustrate
n. 插畫家；解說者,illustrator
adj. 著名的 (= famous)；顯赫（ㄏㄜˋ）的,illustrious
n. （詩等）意象：（影）像,imagery
詩的意象 (2),poetic imagery
